Mês Ano;Órgão Superior;Órgão/Entidade Vinculada;Valor Empenhado;Valor Liquidado;Valor Pago;Valor Restos a Pagar Pagos
abr/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53203 - Superintendência do Desenvolvimento do Nordeste;5.780.062,12;5.263.997,04;4.367.783,98;1.214.768,02
ago/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53203 - Superintendência do Desenvolvimento do Nordeste;3.928.524,28;4.272.096,92;4.695.867,37;49,17
jun/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53203 - Superintendência do Desenvolvimento do Nordeste;5.404.819,53;5.687.937,70;5.119.479,38;7.039.691,59
fev/25;33000 - Ministério da Previdência Social;33206 - Superintendência Nacional de Previdência Complementar;2.286.509,04;3.439.197,72;3.304.890,49;799.520,16
mai/25;33000 - Ministério da Previdência Social;33206 - Superintendência Nacional de Previdência Complementar;538.747,04;3.801.876,57;3.526.748,43;55.352,20
jul/25;33000 - Ministério da Previdência Social;33206 - Superintendência Nacional de Previdência Complementar;476.151,23;4.337.548,12;5.283.140,04;998.777,40
abr/25;33000 - Ministério da Previdência Social;33206 - Superintendência Nacional de Previdência Complementar;3.563.000,00;4.570.115,20;3.675.898,35;2.460,18
ago/25;33000 - Ministério da Previdência Social;33206 - Superintendência Nacional de Previdência Complementar;784.817,16;4.154.618,21;3.784.009,33;294,4
jan/25;33000 - Ministério da Previdência Social;33206 - Superintendência Nacional de Previdência Complementar;30.747.737,48;2.641.511,40;453.747,98;2.898.586,87
jun/25;33000 - Ministério da Previdência Social;33206 - Superintendência Nacional de Previdência Complementar;242.683,48;5.016.145,94;4.440.126,27;13.721,12
mar/25;33000 - Ministério da Previdência Social;33206 - Superintendência Nacional de Previdência Complementar;732.609,71;3.358.050,34;3.419.060,53;84.682,24
mar/25;41000 - Ministério das Comunicações;24216 - Telecomunicações Brasileiras S.A.;32.254.677,56;33.910.704,72;29.637.157,15;1.203.848,37
fev/25;41000 - Ministério das Comunicações;24216 - Telecomunicações Brasileiras S.A.;34.780.743,84;74.386.410,70;69.773.282,53;5.633.061,57
jan/25;41000 - Ministério das Comunicações;24216 - Telecomunicações Brasileiras S.A.;125.073.925,89;15.974.894,54;7.874.590,84;28.024.942,50
abr/25;41000 - Ministério das Comunicações;24216 - Telecomunicações Brasileiras S.A.;8.122.167,77;29.647.053,79;24.062.310,09;1.729.493,13
mai/25;41000 - Ministério das Comunicações;24216 - Telecomunicações Brasileiras S.A.;81.322.167,14;31.261.983,40;30.663.602,04;3.060.723,67
ago/25;41000 - Ministério das Comunicações;24216 - Telecomunicações Brasileiras S.A.;1.966.364,56;65.281.182,22;36.453.799,97;1.166.830,14
jun/25;41000 - Ministério das Comunicações;24216 - Telecomunicações Brasileiras S.A.;135.725.801,93;28.039.070,23;26.690.815,28;508.696,18
jul/25;41000 - Ministério das Comunicações;24216 - Telecomunicações Brasileiras S.A.;29.558.120,05;50.708.981,02;44.681.973,51;2.990.890,81
abr/25;26000 - Ministério da Educação;26442 - Universidade da Integração Internacional da Lusofonia Afro-Brasileira;1.688.725,93;20.476.669,75;15.800.618,77;5.358.993,49
mai/25;26000 - Ministério da Educação;26442 - Universidade da Integração Internacional da Lusofonia Afro-Brasileira;1.154.828,60;15.664.066,35;18.608.713,91;1.442.043,91
mar/25;26000 - Ministério da Educação;26442 - Universidade da Integração Internacional da Lusofonia Afro-Brasileira;40.411.862,36;15.242.173,22;16.365.371,91;1.105.162,70
jul/25;26000 - Ministério da Educação;26442 - Universidade da Integração Internacional da Lusofonia Afro-Brasileira;10.733.155,79;17.476.220,42;23.637.095,13;1.083.625,66
ago/25;26000 - Ministério da Educação;26442 - Universidade da Integração Internacional da Lusofonia Afro-Brasileira;7.046.328,03;17.609.703,10;18.027.718,10;328.114,91
fev/25;26000 - Ministério da Educação;26442 - Universidade da Integração Internacional da Lusofonia Afro-Brasileira;34.365.219,00;16.977.244,78;15.286.001,39;4.227.547,98
jan/25;26000 - Ministério da Educação;26442 - Universidade da Integração Internacional da Lusofonia Afro-Brasileira;17.301.064,05;15.242.062,96;556.193,59;15.849.921,34
jun/25;26000 - Ministério da Educação;26442 - Universidade da Integração Internacional da Lusofonia Afro-Brasileira;62.065.820,99;26.323.339,74;19.836.689,72;334.171,49
mai/25;26000 - Ministério da Educação;26232 - Universidade Federal da Bahia;23.587.252,96;195.233.853,97;231.208.444,96;5.596.122,43
jun/25;26000 - Ministério da Educação;26232 - Universidade Federal da Bahia;186.457.837,26;254.891.973,25;206.775.900,28;2.698.613,17
abr/25;26000 - Ministério da Educação;26232 - Universidade Federal da Bahia;143.151.657,92;242.333.361,70;179.308.372,12;11.310.846,42
mar/25;26000 - Ministério da Educação;26232 - Universidade Federal da Bahia;39.040.735,94;178.498.803,44;182.198.227,88;9.118.150,06
jul/25;26000 - Ministério da Educação;26232 - Universidade Federal da Bahia;37.864.414,58;224.385.909,89;257.734.157,98;1.406.490,74
fev/25;26000 - Ministério da Educação;26232 - Universidade Federal da Bahia;31.838.582,51;176.478.406,79;160.869.059,67;26.575.404,47
jan/25;26000 - Ministério da Educação;26232 - Universidade Federal da Bahia;1.917.816.177,39;173.541.458,05;12.031.153,82;145.144.608,52
ago/25;26000 - Ministério da Educação;26232 - Universidade Federal da Bahia;59.162.168,37;205.891.740,91;220.547.511,37;875.615,55
jun/25;26000 - Ministério da Educação;26440 - Universidade Federal da Fronteira Sul;21.269.879,09;44.146.706,20;34.541.403,33;1.235.380,32
mai/25;26000 - Ministério da Educação;26440 - Universidade Federal da Fronteira Sul;5.968.580,02;34.086.175,82;40.622.311,87;1.537.810,62
fev/25;26000 - Ministério da Educação;26440 - Universidade Federal da Fronteira Sul;5.793.570,96;25.182.404,69;24.135.707,71;12.967.915,49
abr/25;26000 - Ministério da Educação;26440 - Universidade Federal da Fronteira Sul;8.736.629,51;35.620.423,14;21.669.403,76;2.601.289,60
mar/25;26000 - Ministério da Educação;26440 - Universidade Federal da Fronteira Sul;5.210.113,29;25.958.032,27;24.771.684,90;3.436.688,76
jul/25;26000 - Ministério da Educação;26440 - Universidade Federal da Fronteira Sul;20.895.003,08;35.681.088,95;44.926.692,21;940.862,44
jan/25;26000 - Ministério da Educação;26440 - Universidade Federal da Fronteira Sul;196.478.080,30;25.801.439,53;35.648,06;31.591.100,97
ago/25;26000 - Ministério da Educação;26440 - Universidade Federal da Fronteira Sul;87.347.107,38;34.118.455,33;35.287.726,13;324.136,54
mai/25;26000 - Ministério da Educação;26267 - Universidade Federal da Integração Latino-Americana;3.077.545,75;18.673.454,27;19.917.972,32;804.046,62
fev/25;26000 - Ministério da Educação;26267 - Universidade Federal da Integração Latino-Americana;4.361.766,68;17.105.059,56;15.208.215,10;3.210.666,92
jul/25;26000 - Ministério da Educação;26267 - Universidade Federal da Integração Latino-Americana;32.563.650,93;19.170.232,03;25.763.742,92;1.267.799,34
ago/25;26000 - Ministério da Educação;26267 - Universidade Federal da Integração Latino-Americana;37.417.488,30;18.373.951,47;19.040.332,98;2.497,99
mar/25;26000 - Ministério da Educação;26267 - Universidade Federal da Integração Latino-Americana;3.214.691,59;16.081.506,69;17.196.637,48;2.012.125,14
abr/25;26000 - Ministério da Educação;26267 - Universidade Federal da Integração Latino-Americana;6.105.084,26;20.836.263,26;15.270.053,41;890.685,10
jan/25;26000 - Ministério da Educação;26267 - Universidade Federal da Integração Latino-Americana;120.627.846,39;15.161.543,19;631.422,14;17.560.149,13
jun/25;26000 - Ministério da Educação;26267 - Universidade Federal da Integração Latino-Americana;8.658.685,07;25.321.588,13;19.206.847,71;172.262,40
mai/25;26000 - Ministério da Educação;26240 - Universidade Federal da Paraíba;65.374.647,23;190.569.040,86;221.536.380,62;3.231.373,52
fev/25;26000 - Ministério da Educação;26240 - Universidade Federal da Paraíba;15.155.954,43;169.541.270,79;149.857.766,36;32.693.467,51
jan/25;26000 - Ministério da Educação;26240 - Universidade Federal da Paraíba;1.442.141.515,21;165.954.939,12;339.606,77;209.870.980,23
abr/25;26000 - Ministério da Educação;26240 - Universidade Federal da Paraíba;82.605.382,33;232.002.557,48;170.841.794,15;4.821.653,71
ago/25;26000 - Ministério da Educação;26240 - Universidade Federal da Paraíba;97.029.541,13;11.538.223,36;196.952.764,20;1.711.757,30
jul/25;26000 - Ministério da Educação;26240 - Universidade Federal da Paraíba;79.189.088,95;201.767.408,65;234.779.598,65;2.907.651,34
jun/25;26000 - Ministério da Educação;26240 - Universidade Federal da Paraíba;89.190.688,58;232.010.551,21;199.345.033,61;2.689.704,97
mar/25;26000 - Ministério da Educação;26240 - Universidade Federal da Paraíba;12.790.082,70;169.173.582,44;168.926.866,92;8.447.879,46
mar/25;26000 - Ministério da Educação;26231 - Universidade Federal de Alagoas;11.396.506,78;87.398.570,06;86.496.682,80;10.473.025,27
jun/25;26000 - Ministério da Educação;26231 - Universidade Federal de Alagoas;77.894.009,19;138.605.740,03;106.698.283,97;9.048.791,29
abr/25;26000 - Ministério da Educação;26231 - Universidade Federal de Alagoas;61.922.837,44;116.392.210,67;87.347.989,31;6.179.360,55
jan/25;26000 - Ministério da Educação;26231 - Universidade Federal de Alagoas;1.060.737.875,30;82.268.927,76;372.343,17;116.348.877,61
fev/25;26000 - Ministério da Educação;26231 - Universidade Federal de Alagoas;7.921.873,51;89.457.690,72;88.114.664,96;7.762.525,42
mai/25;26000 - Ministério da Educação;26231 - Universidade Federal de Alagoas;3.165.542,62;106.224.331,96;125.331.158,93;3.399.627,33
jul/25;26000 - Ministério da Educação;26231 - Universidade Federal de Alagoas;25.064.661,99;122.537.249,21;133.233.982,82;1.536.424,62
ago/25;26000 - Ministério da Educação;26231 - Universidade Federal de Alagoas;21.306.770,09;98.369.355,32;119.898.770,76;1.620.997,56
mai/25;26000 - Ministério da Educação;26260 - Universidade Federal de Alfenas;2.284.987,09;27.217.955,58;31.875.458,16;661.796,81
abr/25;26000 - Ministério da Educação;26260 - Universidade Federal de Alfenas;5.964.709,13;32.805.591,68;23.485.780,53;599.359,55
fev/25;26000 - Ministério da Educação;26260 - Universidade Federal de Alfenas;3.970.367,12;22.284.841,10;20.056.584,97;5.538.105,67
mar/25;26000 - Ministério da Educação;26260 - Universidade Federal de Alfenas;2.374.318,64;21.985.956,77;23.006.638,83;1.553.850,94
jan/25;26000 - Ministério da Educação;26260 - Universidade Federal de Alfenas;240.000.772,97;22.531.828,34;109.508,61;28.332.929,96
jun/25;26000 - Ministério da Educação;26260 - Universidade Federal de Alfenas;7.156.449,97;35.477.740,80;27.808.881,43;473.374,97
ago/25;26000 - Ministério da Educação;26260 - Universidade Federal de Alfenas;9.353.593,76;27.349.359,28;27.228.558,58;59.787,57
jul/25;26000 - Ministério da Educação;26260 - Universidade Federal de Alfenas;7.557.543,27;28.920.628,14;37.230.394,88;386.797,33
mai/25;26000 - Ministério da Educação;26252 - Universidade Federal de Campina Grande;3.828.743,16;75.217.491,00;91.482.917,04;2.128.944,82
abr/25;26000 - Ministério da Educação;26252 - Universidade Federal de Campina Grande;7.483.101,45;101.230.535,16;72.196.239,26;2.302.014,50
mar/25;26000 - Ministério da Educação;26252 - Universidade Federal de Campina Grande;8.485.637,49;72.350.628,91;71.460.755,03;4.230.204,37
jun/25;26000 - Ministério da Educação;26252 - Universidade Federal de Campina Grande;19.457.621,59;106.786.527,48;88.267.564,42;1.101.482,33
jan/25;26000 - Ministério da Educação;26252 - Universidade Federal de Campina Grande;850.128.603,88;69.569.082,09;3.358.473,65;87.361.212,21
jul/25;26000 - Ministério da Educação;26252 - Universidade Federal de Campina Grande;11.039.638,23;83.143.171,59;102.901.215,27;914.098,60
fev/25;26000 - Ministério da Educação;26252 - Universidade Federal de Campina Grande;6.459.007,68;70.465.857,25;63.663.366,68;11.951.476,98
ago/25;26000 - Ministério da Educação;26252 - Universidade Federal de Campina Grande;18.358.577,73;82.350.191,91;80.411.370,22;552.726,54
jun/25;26000 - Ministério da Educação;26452 - Universidade Federal de Catalão;2.911.769,93;16.024.649,09;13.996.749,66;203.363,71
mar/25;26000 - Ministério da Educação;26452 - Universidade Federal de Catalão;2.936.986,79;10.552.864,15;10.475.684,58;161.526,79
mai/25;26000 - Ministério da Educação;26452 - Universidade Federal de Catalão;3.028.260,19;12.380.616,24;13.602.348,99;887.804,79
fev/25;26000 - Ministério da Educação;26452 - Universidade Federal de Catalão;1.693.888,99;10.179.438,09;8.965.485,27;9.925.987,33
jan/25;26000 - Ministério da Educação;26452 - Universidade Federal de Catalão;32.589.660,45;9.949.801,13;572.301,44;10.505.483,38
abr/25;26000 - Ministério da Educação;26452 - Universidade Federal de Catalão;57.299.132,34;13.407.764,49;9.620.217,78;2.598.248,69
ago/25;26000 - Ministério da Educação;26452 - Universidade Federal de Catalão;27.536.351,21;12.135.881,65;12.970.084,26;19.310,38
jul/25;26000 - Ministério da Educação;26452 - Universidade Federal de Catalão;4.712.497,50;13.459.525,14;16.239.417,65;18.690,97
fev/25;26000 - Ministério da Educação;26235 - Universidade Federal de Goiás;121.970.416,49;112.198.083,88;104.365.250,86;9.097.605,28
jun/25;26000 - Ministério da Educação;26235 - Universidade Federal de Goiás;66.831.390,38;189.369.441,13;147.236.867,48;4.542.829,49
jan/25;26000 - Ministério da Educação;26235 - Universidade Federal de Goiás;1.202.892.163,11;114.606.088,88;580.267,34;112.463.455,74
mar/25;26000 - Ministério da Educação;26235 - Universidade Federal de Goiás;17.798.063,06;117.898.258,64;114.073.173,81;12.172.903,86
ago/25;26000 - Ministério da Educação;26235 - Universidade Federal de Goiás;35.730.982,37;137.897.662,62;144.923.833,75;1.014.424,28
jul/25;26000 - Ministério da Educação;26235 - Universidade Federal de Goiás;24.044.026,72;146.738.246,29;189.646.502,06;6.523.031,57
abr/25;26000 - Ministério da Educação;26235 - Universidade Federal de Goiás;28.800.702,91;169.355.940,41;117.761.322,97;8.159.367,21
mai/25;26000 - Ministério da Educação;26235 - Universidade Federal de Goiás;31.090.923,05;141.993.375,53;161.557.164,23;10.954.922,23
jun/25;26000 - Ministério da Educação;26261 - Universidade Federal de Itajubá;2.376.494,82;33.298.528,46;25.485.081,98;904.169,97
ago/25;26000 - Ministério da Educação;26261 - Universidade Federal de Itajubá;11.476.705,33;24.535.538,11;25.221.096,81;244.412,52
jan/25;26000 - Ministério da Educação;26261 - Universidade Federal de Itajubá;261.437.549,42;21.100.233,06;42.631,79;25.193.624,30
fev/25;26000 - Ministério da Educação;26261 - Universidade Federal de Itajubá;2.579.651,80;20.894.003,69;19.050.353,94;5.098.427,04
abr/25;26000 - Ministério da Educação;26261 - Universidade Federal de Itajubá;2.197.793,74;29.863.884,39;21.463.438,30;1.242.212,98
mai/25;26000 - Ministério da Educação;26261 - Universidade Federal de Itajubá;2.756.894,18;24.758.659,61;29.124.594,98;891.999,13
jul/25;26000 - Ministério da Educação;26261 - Universidade Federal de Itajubá;6.399.313,42;25.973.291,41;34.056.803,90;203.228,59
mar/25;26000 - Ministério da Educação;26261 - Universidade Federal de Itajubá;2.384.025,53;21.258.177,98;21.276.258,75;2.826.888,13
abr/25;26000 - Ministério da Educação;26453 - Universidade Federal de Jataí;2.644.230,09;15.490.449,14;11.425.264,70;1.920.271,70
ago/25;26000 - Ministério da Educação;26453 - Universidade Federal de Jataí;3.229.994,03;13.490.282,09;13.499.893,15;462,83
jun/25;26000 - Ministério da Educação;26453 - Universidade Federal de Jataí;15.277.650,64;17.667.300,98;15.123.934,04;477,05
jul/25;26000 - Ministério da Educação;26453 - Universidade Federal de Jataí;2.990.000,14;14.551.112,01;18.407.021,00;1.026,80
fev/25;26000 - Ministério da Educação;26453 - Universidade Federal de Jataí;2.744.617,53;11.106.641,13;10.372.042,77;1.665.730,35
mar/25;26000 - Ministério da Educação;26453 - Universidade Federal de Jataí;2.500.398,19;10.704.936,30;10.390.877,75;180.706,95
jan/25;26000 - Ministério da Educação;26453 - Universidade Federal de Jataí;120.752.375,57;10.987.362,94;691.304,29;10.466.583,55
mai/25;26000 - Ministério da Educação;26453 - Universidade Federal de Jataí;9.445.529,00;12.314.313,81;14.851.939,73;121.181,45
jun/25;26000 - Ministério da Educação;26237 - Universidade Federal de Juiz de Fora;65.824.426,83;135.309.708,21;103.154.323,16;3.937.989,96
fev/25;26000 - Ministério da Educação;26237 - Universidade Federal de Juiz de Fora;13.555.594,35;88.747.565,17;75.983.436,22;34.282.655,69
jan/25;26000 - Ministério da Educação;26237 - Universidade Federal de Juiz de Fora;987.039.469,29;77.970.511,11;543.798,03;122.456.171,03
mai/25;26000 - Ministério da Educação;26237 - Universidade Federal de Juiz de Fora;39.398.810,89;104.382.151,21;122.576.793,99;12.583.873,86
abr/25;26000 - Ministério da Educação;26237 - Universidade Federal de Juiz de Fora;49.413.148,84;121.604.273,13;89.934.921,12;6.124.581,14
ago/25;26000 - Ministério da Educação;26237 - Universidade Federal de Juiz de Fora;41.203.103,86;112.953.362,77;118.627.235,22;1.861.487,46
mar/25;26000 - Ministério da Educação;26237 - Universidade Federal de Juiz de Fora;16.631.313,59;91.305.882,68;91.426.145,63;20.871.390,99
jul/25;26000 - Ministério da Educação;26237 - Universidade Federal de Juiz de Fora;41.140.108,61;124.191.685,60;152.438.265,72;568.958,72
abr/25;26000 - Ministério da Educação;26263 - Universidade Federal de Lavras;13.003.811,00;50.950.975,52;45.595.881,57;2.268.396,61
jan/25;26000 - Ministério da Educação;26263 - Universidade Federal de Lavras;172.311.919,62;35.873.859,78;249.067,32;41.647.094,14
mai/25;26000 - Ministério da Educação;26263 - Universidade Federal de Lavras;102.878.996,33;43.591.329,99;41.376.851,06;2.467.429,31
fev/25;26000 - Ministério da Educação;26263 - Universidade Federal de Lavras;8.343.208,72;35.814.039,86;26.937.920,38;9.365.344,79
mar/25;26000 - Ministério da Educação;26263 - Universidade Federal de Lavras;41.352.832,94;37.086.469,52;44.103.500,14;1.122.317,78
jul/25;26000 - Ministério da Educação;26263 - Universidade Federal de Lavras;42.675.814,84;44.137.760,30;57.616.785,93;670.863,81
jun/25;26000 - Ministério da Educação;26263 - Universidade Federal de Lavras;12.462.263,09;57.148.992,33;44.176.657,92;319.446,58
ago/25;26000 - Ministério da Educação;26263 - Universidade Federal de Lavras;86.232.503,84;43.456.884,08;43.738.016,67;357.880,18
ago/25;26000 - Ministério da Educação;26238 - Universidade Federal de Minas Gerais;50.248.926,36;250.978.035,55;251.099.082,88;3.546.809,47
mai/25;26000 - Ministério da Educação;26238 - Universidade Federal de Minas Gerais;30.525.507,40;246.415.270,37;280.932.897,63;2.132.316,75
jul/25;26000 - Ministério da Educação;26238 - Universidade Federal de Minas Gerais;88.354.121,51;252.264.620,85;347.347.899,59;2.906.588,48
fev/25;26000 - Ministério da Educação;26238 - Universidade Federal de Minas Gerais;35.691.849,54;216.669.561,14;195.630.933,68;63.585.096,59
jan/25;26000 - Ministério da Educação;26238 - Universidade Federal de Minas Gerais;2.234.762.646,26;210.923.048,64;5.663.543,13;224.020.034,45
mar/25;26000 - Ministério da Educação;26238 - Universidade Federal de Minas Gerais;39.138.775,70;218.046.907,57;218.167.391,64;23.354.616,20
abr/25;26000 - Ministério da Educação;26238 - Universidade Federal de Minas Gerais;33.999.044,45;293.481.780,64;211.721.861,09;28.022.763,02
jun/25;26000 - Ministério da Educação;26238 - Universidade Federal de Minas Gerais;44.234.885,15;346.794.702,57;256.443.768,13;3.961.366,59
mar/25;26000 - Ministério da Educação;26277 - Universidade Federal de Ouro Preto;8.399.930,25;47.991.746,81;44.258.437,16;405.121,38
jan/25;26000 - Ministério da Educação;26277 - Universidade Federal de Ouro Preto;306.045.806,33;36.691.854,49;282.754,43;42.625.626,39
fev/25;26000 - Ministério da Educação;26277 - Universidade Federal de Ouro Preto;6.135.888,54;48.532.494,76;38.482.858,34;6.996.237,75
abr/25;26000 - Ministério da Educação;26277 - Universidade Federal de Ouro Preto;53.106.937,30;57.942.212,12;46.621.619,60;891.874,81
ago/25;26000 - Ministério da Educação;26277 - Universidade Federal de Ouro Preto;109.129.818,78;50.321.752,29;51.905.242,88;286.335,85
jul/25;26000 - Ministério da Educação;26277 - Universidade Federal de Ouro Preto;21.497.267,67;52.855.195,96;66.648.310,30;394.580,74
jun/25;26000 - Ministério da Educação;26277 - Universidade Federal de Ouro Preto;12.937.371,42;69.304.882,13;51.897.472,01;601.110,51
mai/25;26000 - Ministério da Educação;26277 - Universidade Federal de Ouro Preto;26.683.892,53;45.388.619,30;55.119.900,40;224.313,90
jan/25;26000 - Ministério da Educação;26242 - Universidade Federal de Pernambuco;1.987.218.594,19;156.218.718,44;2.013.864,77;203.903.849,44
abr/25;26000 - Ministério da Educação;26242 - Universidade Federal de Pernambuco;19.254.360,82;227.167.574,41;170.266.014,89;33.318.929,34
mai/25;26000 - Ministério da Educação;26242 - Universidade Federal de Pernambuco;20.706.217,84;184.253.605,35;217.197.872,06;4.990.425,65
fev/25;26000 - Ministério da Educação;26242 - Universidade Federal de Pernambuco;20.727.728,00;159.509.261,53;144.084.496,86;45.975.484,28
mar/25;26000 - Ministério da Educação;26242 - Universidade Federal de Pernambuco;16.498.655,93;168.596.423,61;160.376.845,02;27.262.862,40
jul/25;26000 - Ministério da Educação;26242 - Universidade Federal de Pernambuco;24.894.506,68;201.882.830,98;259.111.328,86;5.613.028,60
jun/25;26000 - Ministério da Educação;26242 - Universidade Federal de Pernambuco;222.500.201,60;252.340.875,46;191.963.667,10;15.539.130,84
ago/25;26000 - Ministério da Educação;26242 - Universidade Federal de Pernambuco;36.045.087,56;189.927.455,58;194.740.581,94;6.325.043,23
abr/25;26000 - Ministério da Educação;26454 - Universidade Federal de Rondonópolis;9.047.051,08;12.944.538,15;8.995.264,97;2.393.773,44
mai/25;26000 - Ministério da Educação;26454 - Universidade Federal de Rondonópolis;908.834,87;10.995.112,15;12.733.539,85;1.882.979,20
jun/25;26000 - Ministério da Educação;26454 - Universidade Federal de Rondonópolis;11.906.446,59;13.306.855,06;11.021.342,84;1.110.451,35
fev/25;26000 - Ministério da Educação;26454 - Universidade Federal de Rondonópolis;2.105.677,04;8.328.560,20;7.488.076,60;2.369.278,40
mar/25;26000 - Ministério da Educação;26454 - Universidade Federal de Rondonópolis;2.069.164,85;8.805.314,67;8.443.320,69;579.048,10
jan/25;26000 - Ministério da Educação;26454 - Universidade Federal de Rondonópolis;107.976.040,16;8.528.675,06;16.183,19;11.439.809,91
ago/25;26000 - Ministério da Educação;26454 - Universidade Federal de Rondonópolis;7.442.892,41;11.292.308,81;10.824.256,46;484.116,35
jul/25;26000 - Ministério da Educação;26454 - Universidade Federal de Rondonópolis;5.264.307,42;11.244.775,43;14.074.509,46;137.126,41
fev/25;26000 - Ministério da Educação;26250 - Universidade Federal de Roraima;2.201.020,41;22.380.354,92;19.487.293,25;10.060.099,92
jun/25;26000 - Ministério da Educação;26250 - Universidade Federal de Roraima;84.826.702,35;36.854.159,28;28.460.322,44;755.695,76
mar/25;26000 - Ministério da Educação;26250 - Universidade Federal de Roraima;4.428.508,81;24.358.926,34;22.737.463,53;4.241.597,13
mai/25;26000 - Ministério da Educação;26250 - Universidade Federal de Roraima;4.022.657,15;27.215.543,97;31.113.889,55;834.291,38
jan/25;26000 - Ministério da Educação;26250 - Universidade Federal de Roraima;214.878.450,97;21.782.882,42;592.364,67;22.901.517,20
ago/25;26000 - Ministério da Educação;26250 - Universidade Federal de Roraima;8.370.773,33;26.609.696,02;28.903.923,69;166.173,26
jul/25;26000 - Ministério da Educação;26250 - Universidade Federal de Roraima;4.832.280,68;28.699.028,10;36.303.316,16;1.069.380,35
abr/25;26000 - Ministério da Educação;26250 - Universidade Federal de Roraima;6.669.540,06;31.231.489,31;23.083.499,22;7.863.463,92
abr/25;26000 - Ministério da Educação;26246 - Universidade Federal de Santa Catarina;32.350.623,61;235.006.762,29;166.203.844,04;22.465.449,24
mar/25;26000 - Ministério da Educação;26246 - Universidade Federal de Santa Catarina;27.427.618,64;177.012.353,72;174.583.325,79;13.274.438,14
fev/25;26000 - Ministério da Educação;26246 - Universidade Federal de Santa Catarina;22.174.051,46;162.041.236,25;148.876.090,59;28.253.059,99
jul/25;26000 - Ministério da Educação;26246 - Universidade Federal de Santa Catarina;30.047.359,16;198.914.823,37;266.704.327,75;2.352.114,97
jan/25;26000 - Ministério da Educação;26246 - Universidade Federal de Santa Catarina;1.909.924.917,15;159.749.915,06;1.796.379,42;181.315.409,65
mai/25;26000 - Ministério da Educação;26246 - Universidade Federal de Santa Catarina;34.720.531,60;210.661.124,74;226.828.352,21;6.589.432,91
jun/25;26000 - Ministério da Educação;26246 - Universidade Federal de Santa Catarina;39.633.261,28;262.158.958,18;220.710.823,32;3.567.284,13
ago/25;26000 - Ministério da Educação;26246 - Universidade Federal de Santa Catarina;62.577.617,28;195.669.813,22;191.928.422,56;3.407.660,75
fev/25;26000 - Ministério da Educação;26247 - Universidade Federal de Santa Maria;7.773.809,11;127.096.296,36;113.618.730,93;9.472.797,63
ago/25;26000 - Ministério da Educação;26247 - Universidade Federal de Santa Maria;19.016.502,64;163.709.638,93;163.459.745,92;2.765.577,96
jan/25;26000 - Ministério da Educação;26247 - Universidade Federal de Santa Maria;1.550.790.814,47;140.232.119,51;8.634.604,96;125.466.367,58
mar/25;26000 - Ministério da Educação;26247 - Universidade Federal de Santa Maria;9.405.191,06;127.290.983,79;151.478.637,94;5.018.069,65
jun/25;26000 - Ministério da Educação;26247 - Universidade Federal de Santa Maria;94.506.112,38;194.542.181,92;144.329.242,82;1.650.669,36
abr/25;26000 - Ministério da Educação;26247 - Universidade Federal de Santa Maria;26.098.696,14;180.042.256,92;130.400.691,45;8.429.728,76
mai/25;26000 - Ministério da Educação;26247 - Universidade Federal de Santa Maria;90.792.301,48;146.330.846,15;178.771.118,23;2.354.364,87
jul/25;26000 - Ministério da Educação;26247 - Universidade Federal de Santa Maria;32.893.447,62;153.993.728,36;202.637.609,64;4.129.918,58
mar/25;26000 - Ministério da Educação;26262 - Universidade Federal de São Paulo;35.486.259,18;128.752.617,68;126.202.235,23;6.434.678,00
jun/25;26000 - Ministério da Educação;26262 - Universidade Federal de São Paulo;31.021.760,03;199.110.934,24;137.971.087,36;4.146.441,29
jan/25;26000 - Ministério da Educação;26262 - Universidade Federal de São Paulo;1.415.444.619,37;121.992.266,35;63.474,25;148.452.135,39
fev/25;26000 - Ministério da Educação;26262 - Universidade Federal de São Paulo;9.087.061,58;123.200.616,30;122.690.111,99;10.607.421,88
abr/25;26000 - Ministério da Educação;26262 - Universidade Federal de São Paulo;14.002.344,77;167.704.028,95;125.712.184,18;13.727.492,47
ago/25;26000 - Ministério da Educação;26262 - Universidade Federal de São Paulo;93.708.184,26;136.259.598,22;151.147.749,45;2.576.424,71
jul/25;26000 - Ministério da Educação;26262 - Universidade Federal de São Paulo;21.108.970,59;147.482.656,07;199.236.409,25;3.629.055,04
mai/25;26000 - Ministério da Educação;26262 - Universidade Federal de São Paulo;13.548.583,07;138.811.863,67;168.282.182,49;3.230.694,84
jan/25;26000 - Ministério da Educação;26282 - Universidade Federal de Viçosa;722.481.895,40;87.232.862,32;2.255.422,39;85.822.694,84
fev/25;26000 - Ministério da Educação;26282 - Universidade Federal de Viçosa;5.766.414,12;81.758.676,84;77.379.241,24;19.114.165,28
jul/25;26000 - Ministério da Educação;26282 - Universidade Federal de Viçosa;13.026.492,08;103.287.755,64;126.492.968,85;2.697.366,66
jun/25;26000 - Ministério da Educação;26282 - Universidade Federal de Viçosa;93.530.999,03;129.026.826,21;99.888.959,01;2.511.506,41
mar/25;26000 - Ministério da Educação;26282 - Universidade Federal de Viçosa;6.562.287,34;83.720.868,65;84.102.386,68;6.783.973,18
