Mês Ano;Órgão Superior;Órgão/Entidade Vinculada;Valor Empenhado;Valor Liquidado;Valor Pago;Valor Restos a Pagar Pagos
mai/25;52000 - Ministério da Defesa;52233 - Amazônia Azul Tecnologia de Defesa S.A.;21.228.797,43;56.441.079,89;62.667.275,70;457.680,33
ago/25;30000 - Ministério da Justiça e Segurança Pública;30212 - Autoridade Nacional de Proteção de Dados;2.391.184,35;1.166.925,39;1.119.163,95;657,61
abr/25;30000 - Ministério da Justiça e Segurança Pública;30212 - Autoridade Nacional de Proteção de Dados;2.334.552,82;984.460,76;839.578,31;35.862,97
jan/25;30000 - Ministério da Justiça e Segurança Pública;30212 - Autoridade Nacional de Proteção de Dados;5.342.549,00;385.233,86;24.800,48;774.442,85
jul/25;30000 - Ministério da Justiça e Segurança Pública;30212 - Autoridade Nacional de Proteção de Dados;1.777.219,46;1.303.085,62;1.371.195,64;43.521,85
mar/25;30000 - Ministério da Justiça e Segurança Pública;30212 - Autoridade Nacional de Proteção de Dados;1.561.574,39;752.849,53;778.818,26;369.450,58
mai/25;30000 - Ministério da Justiça e Segurança Pública;30212 - Autoridade Nacional de Proteção de Dados;1.333.669,43;688.794,55;836.573,01;32.036,59
jun/25;30000 - Ministério da Justiça e Segurança Pública;30212 - Autoridade Nacional de Proteção de Dados;1.205.716,26;1.092.294,50;982.366,12;653.644,28
fev/25;30000 - Ministério da Justiça e Segurança Pública;30212 - Autoridade Nacional de Proteção de Dados;471.269,20;809.198,49;718.004,36;65.775,23
jan/25;25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social;25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto;421.721.936,13;315.202.508,73;18.565.821,15;303.155.636,65
fev/25;25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social;25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto;378.829.387,89;313.799.959,13;311.665.054,70;10.994.082,53
abr/25;25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social;25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto;429.945.691,57;533.859.157,08;343.960.559,03;2.104.255,86
ago/25;25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social;25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto;334.104.003,41;325.690.597,76;352.170.296,96;44.777,60
jul/25;25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social;25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto;416.324.190,46;359.898.367,52;360.773.990,65;2.868.083,10
mai/25;25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social;25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto;355.265.734,01;348.152.445,48;536.201.245,24;10.198.918,54
mar/25;25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social;25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto;316.061.098,43;330.583.557,86;306.110.405,32;10.974.497,97
jun/25;25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social;25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto;340.483.171,49;351.299.400,98;350.173.804,21;266.090,76
fev/25;52000 - Ministério da Defesa;31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil;47.296.568,00;7.859.223,05;7.874.048,14;13.367.137,70
abr/25;52000 - Ministério da Defesa;31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil;-1.341.171,29;15.968.058,30;15.579.053,45;5.366.043,39
ago/25;52000 - Ministério da Defesa;31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil;2.727.636,42;13.606.647,60;13.396.492,34;1.727.827,44
jul/25;52000 - Ministério da Defesa;31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil;947.356,85;16.071.420,07;16.115.921,26;2.424.720,53
mar/25;52000 - Ministério da Defesa;31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil;412.076,21;7.895.696,99;7.844.279,31;8.907.570,22
jan/25;52000 - Ministério da Defesa;31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil;203.998.284,00;28.142,45;3.552,10;20.745.996,73
mai/25;52000 - Ministério da Defesa;31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil;1.830.838,46;21.906.719,60;22.280.231,86;2.057.567,72
jun/25;52000 - Ministério da Defesa;31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil;515.871,55;14.058.564,55;14.074.392,12;4.809.506,15
mar/25;52000 - Ministério da Defesa;52211 - Caixa de Financiamento Imobiliário da Aeronáutica;84.500,00;153.151,21;167.093,04;1.081.453,41
jun/25;52000 - Ministério da Defesa;52211 - Caixa de Financiamento Imobiliário da Aeronáutica;224.287,69;782.508,02;739.457,46;72.411,02
mai/25;52000 - Ministério da Defesa;52211 - Caixa de Financiamento Imobiliário da Aeronáutica;1.205.086,62;996.211,99;1.025.821,91;442.837,75
jul/25;52000 - Ministério da Defesa;52211 - Caixa de Financiamento Imobiliário da Aeronáutica;616.064,03;752.860,56;786.322,93;95.770,15
abr/25;52000 - Ministério da Defesa;52211 - Caixa de Financiamento Imobiliário da Aeronáutica;498.312,84;348.190,67;304.891,37;373.542,86
ago/25;52000 - Ministério da Defesa;52211 - Caixa de Financiamento Imobiliário da Aeronáutica;394.845,77;260.472,11;267.274,10;65.747,30
jan/25;52000 - Ministério da Defesa;52211 - Caixa de Financiamento Imobiliário da Aeronáutica;1.893.674,00;137.074,53;0;879.978,64
fev/25;52000 - Ministério da Defesa;52211 - Caixa de Financiamento Imobiliário da Aeronáutica;95.373,92;152.860,49;134.422,65;1.915.661,01
jun/25;26000 - Ministério da Educação;26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;56.454.924,17;56.816.556,67;46.599.420,56;2.492.419,59
ago/25;26000 - Ministério da Educação;26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;8.201.361,22;42.765.582,14;44.118.324,83;348.694,81
jan/25;26000 - Ministério da Educação;26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;452.262.276,56;37.173.347,11;74.235,05;44.690.994,01
jul/25;26000 - Ministério da Educação;26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;11.293.201,44;43.943.700,76;56.178.696,06;601.205,49
abr/25;26000 - Ministério da Educação;26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;-1.690.923,46;52.580.221,25;36.841.306,59;968.135,50
mar/25;26000 - Ministério da Educação;26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;7.207.797,13;37.665.983,86;38.312.877,74;989.897,31
mai/25;26000 - Ministério da Educação;26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;7.267.916,17;43.342.146,95;49.757.444,89;1.846.173,99
fev/25;26000 - Ministério da Educação;26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;5.474.974,39;36.771.988,47;33.567.773,88;7.891.351,11
mai/25;26000 - Ministério da Educação;26257 - Centro Federal de Educação Tecnológica de Minas Gerais;5.837.882,75;49.935.995,88;56.539.369,56;1.694.781,16
mar/25;26000 - Ministério da Educação;26257 - Centro Federal de Educação Tecnológica de Minas Gerais;5.103.790,33;43.721.781,76;45.813.801,88;2.778.809,07
jul/25;26000 - Ministério da Educação;26257 - Centro Federal de Educação Tecnológica de Minas Gerais;12.768.898,12;53.370.321,46;64.935.714,07;330.819,68
